selected_job,winner,job_name,negotiation_round,requested_due_date,requested_price,supplier,offer_due_date,offer_price,feasible_due_date,feasible_price,feasible,loss_reduction
S1J08,S2,S1J07,1,4906,9350,S3,6720,23206,False,False,False,99644
S1J08,S2,S1J06,2,5373,13201,S2,5160,6570,True,True,True,122710
S1J08,S2,S1J06,2,5373,13201,S3,5930,11226,False,True,False,111894
S1J02,S2,S1J02,0,3280,9200,S2,4050,13500,False,False,False,153675
S1J02,S2,S1J02,0,3280,9200,S3,3520,8930,False,True,False,163015
S1J02,S2,S1J03,0,3660,9900,S2,1545,7160,True,True,True,159940
S1J02,S2,S1J03,0,3660,9900,S3,4695,17230,False,False,False,139520
S1J02,S2,S1J06,0,4440,12000,S2,5550,15450,False,False,False,114070
S1J02,S2,S1J06,0,4440,12000,S3,5400,14450,False,False,False,116270
S1J02,S2,S1J07,0,4460,8500,S2,3615,7160,True,True,True,142510
S1J02,S2,S1J07,0,4460,8500,S3,6720,27220,False,False,False,102110
S1J02,S2,S1J02,1,3609,10120,S2,1290,6570,True,True,True,167535
S1J02,S2,S1J02,1,3609,10120,S3,3520,6770,True,True,True,165175
S1J02,S2,S1J06,1,4884,13201,S2,5550,11898,False,True,False,117622
S1J02,S2,S1J06,1,4884,13201,S3,5400,10898,False,True,False,119822
S1J02,S2,S1J06,2,5373,13201,S2,5550,7986,False,True,False,121534
S1J02,S2,S1J06,2,5373,13201,S3,5930,11226,False,True,False,115254
S1J02,S2,S1J06,3,5911,13201,S2,5325,6570,True,True,True,124750
S1J02,S2,S1J06,3,5911,13201,S3,4100,6770,True,True,True,131630
S1J01,S3,S1J01,0,2900,8500,S2,6985,38660,False,False,False,70820
S1J01,S3,S1J01,0,2900,8500,S3,1080,5660,True,True,True,136500
S1J01,S3,S1J06,0,4440,12000,S2,5625,16050,False,False,False,109510
S1J01,S3,S1J06,0,4440,12000,S3,5400,14450,False,False,False,112910
S1J01,S3,S1J07,0,4460,8500,S2,8075,39695,False,False,False,70960
S1J01,S3,S1J07,0,4460,8500,S3,6720,27220,False,False,False,95630
S1J01,S3,S1J06,1,4884,13201,S2,5625,12498,False,True,False,113062
S1J01,S3,S1J06,1,4884,13201,S3,5400,10898,False,True,False,116462
S1J01,S3,S1J07,1,4906,9350,S2,8075,35681,False,False,False,74974
S1J01,S3,S1J07,1,4906,9350,S3,6720,23206,False,False,False,99644
S1J01,S3,S1J06,2,5373,13201,S2,5625,8586,False,True,False,116974
S1J01,S3,S1J06,2,5373,13201,S3,5930,11226,False,True,False,111894
S1J01,S3,S1J07,2,5397,10285,S2,8075,31262,False,False,False,79393
S1J01,S3,S1J07,2,5397,10285,S3,5990,12217,False,False,False,117203
S1J01,S3,S1J06,3,5911,13201,S2,6240,9202,False,True,False,111438
S1J01,S3,S1J06,3,5911,13201,S3,4100,6770,True,True,True,128270
S1J01,S3,S1J07,3,5937,11314,S2,8460,29867,False,False,False,77323
S1J01,S3,S1J07,3,5937,11314,S3,5990,7357,False,True,False,122063
S1J06,S3,S1J06,0,4440,12000,S2,5625,16050,False,False,False,107110
S1J06,S3,S1J06,0,4440,12000,S3,2255,6770,True,True,True,125870
S1J06,S3,S1J07,0,4460,8500,S2,8075,39695,False,False,False,70960
S1J06,S3,S1J07,0,4460,8500,S3,7240,31900,False,False,False,86270
S1J06,S3,S1J07,1,4906,9350,S2,8075,35681,False,False,False,74974
S1J06,S3,S1J07,1,4906,9350,S3,7240,27886,False,False,False,90284
S1J06,S3,S1J07,2,5397,10285,S2,8075,31262,False,False,False,79393
S1J06,S3,S1J07,2,5397,10285,S3,6555,17302,False,False,False,107033
S1J06,S3,S1J07,3,5937,11314,S2,8460,29867,False,False,False,77323
S1J06,S3,S1J07,3,5937,11314,S3,5840,6880,True,True,True,123890
